wo_id,equipment_id,date,problem,root_cause,action_taken,technician,status
"WO-0145","MTR-PR-301","2024-09-24","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Suresh","Completed"
"WO-0146","PMP-CW-101","2024-09-25","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0147","CMP-AIR-101","2024-09-26","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings; last PM inspection overdue by 60 days","Replaced ring set; inspected cylinder walls for scoring; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0148","PMP-CW-101","2024-09-28","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Rajan","Completed"
"WO-0149","CMP-N2-201","2024-10-05","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Kavitha","Completed"
"WO-0150","CMP-AIR-101","2024-10-06","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft","Replaced crankshaft oil seals; changed lubricating oil","Rajan","Completed"
"WO-0151","HEX-CW-101","2024-10-06","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 66 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0152","MTR-CW-101","2024-10-07","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Deepak","Completed"
"WO-0153","MTR-CW-101","2024-10-13","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Murugan","Completed"
"WO-0154","PMP-CW-102","2024-10-13","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Suresh","Completed"
"WO-0155","PMP-CW-101","2024-10-15","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; prior inspection warning noted 12 days before failure","Replaced mechanical seal cartridge; inspected shaft sleeve","Rajan","Completed"
"WO-0156","PMP-CW-101","2024-10-18","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Rajan","Completed"
"WO-0157","VLV-PR-201","2024-10-21","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Murugan","Completed"
"WO-0158","CMP-N2-201","2024-10-25","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Suresh","Completed"
"WO-0159","PMP-FW-201","2024-10-26","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Murugan","Closed"
"WO-0160","MTR-FW-202","2024-10-30","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth; last PM inspection overdue by 59 days","Rewound stator; upgraded insulation class to F; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0161","PMP-FW-201","2024-10-30","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Kavitha","Completed"
"WO-0162","HEX-CW-101","2024-10-31","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 45 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Anwar","Closed"
"WO-0163","MTR-FW-202","2024-10-31","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress; last PM inspection overdue by 71 days","Oven-dried windings; applied insulation varnish; megger tested; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0164","VLV-PR-201","2024-10-31","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 86 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Suresh","Closed"
"WO-0165","CMP-AIR-101","2024-11-01","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Anwar","Completed"
"WO-0166","CMP-N2-201","2024-11-02","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Kavitha","Completed"
"WO-0167","MTR-CW-101","2024-11-04","Coupling bolts shearing frequently","Angular misalignment causing shock loads; last PM inspection overdue by 19 days","Complete shaft alignment; replaced coupling; documented baseline; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0168","PMP-CW-101","2024-11-04","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Pradeep","Closed"
"WO-0169","CMP-REF-301","2024-11-05","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Anwar","Closed"
"WO-0170","PMP-CW-102","2024-11-07","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Deepak","Completed"
"WO-0171","CMP-N2-201","2024-11-11","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Suresh","Closed"
"WO-0172","HEX-CW-102","2024-11-11","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Pradeep","Closed"
"WO-0173","VLV-CW-101","2024-11-16","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Anwar","Completed"
"WO-0174","CMP-AIR-101","2024-11-19","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft","Replaced crankshaft oil seals; changed lubricating oil","Deepak","Completed"
"WO-0175","PMP-CW-101","2024-11-20","Abnormal noise during pump startup","Cavitation due to low suction pressure; prior inspection warning noted 8 days before failure","Adjusted suction valve opening; cleared strainer blockage","Deepak","Completed"
"WO-0176","PMP-CW-101","2024-11-23","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Deepak","Closed"
"WO-0177","CMP-REF-301","2024-11-25","Oil carryover contaminating process air","Oil leakage from separator element failure; last PM inspection overdue by 84 days","Replaced oil separator element; checked coalescing filter; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0178","VLV-PR-202","2024-11-28","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Completed"
"WO-0179","PMP-CW-101","2024-11-30","Pump casing erosion observed","Prolonged cavitation causing pitting; prior inspection warning noted 16 days before failure; last PM inspection overdue by 43 days","Casing interior epoxy-coated; NPSH margins reviewed; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0180","PMP-FW-201","2024-12-09","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 31 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Anwar","Closed"
"WO-0181","MTR-CW-102","2024-12-18","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Kavitha","Completed"
"WO-0182","HEX-CW-102","2024-12-20","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Murugan","Completed"
"WO-0183","CMP-N2-201","2024-12-20","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft","Replaced crankshaft oil seals; changed lubricating oil","Kavitha","Completed"
"WO-0184","PMP-PR-301","2024-12-28","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Suresh","Completed"
"WO-0185","PMP-FW-202","2024-12-28","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; last PM inspection overdue by 74 days","Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0186","VLV-ST-301","2024-12-29","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Kavitha","Completed"
"WO-0187","VLV-DR-501","2024-12-29","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Anwar","Completed"
"WO-0188","CMP-AIR-101","2024-12-30","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft","Replaced crankshaft oil seals; changed lubricating oil","Rajan","Completed"
"WO-0189","HEX-CW-101","2024-12-31","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 70 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0190","PMP-FW-201","2025-01-01","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Pradeep","Completed"
"WO-0191","MTR-FW-201","2025-01-03","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Deepak","Completed"
"WO-0192","PMP-FW-201","2025-01-03","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Kavitha","Completed"
"WO-0193","MTR-CW-101","2025-01-05","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Deepak","Completed"
"WO-0194","PMP-CW-101","2025-01-06","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; last PM inspection overdue by 83 days","Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed","Anwar","Closed"
"WO-0195","PMP-CW-101","2025-01-08","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Rajan","Closed"
"WO-0196","VLV-PR-201","2025-01-09","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 24 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0197","CMP-AIR-101","2025-01-10","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler","Cleaned inter-cooler tubes; verified cooling water flow","Anwar","Completed"
"WO-0198","PMP-PR-301","2025-01-13","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Kavitha","Completed"
"WO-0199","HEX-SM-301","2025-01-14","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 65 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0200","CMP-AIR-102","2025-01-16","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings; last PM inspection overdue by 61 days","Replaced ring set; inspected cylinder walls for scoring; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0201","VLV-CW-102","2025-01-20","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Rajan","Completed"
"WO-0202","PMP-CW-101","2025-01-24","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0203","HEX-CW-101","2025-01-24","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 26 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0204","VLV-CW-102","2025-01-25","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Suresh","Completed"
"WO-0205","PMP-FW-202","2025-01-27","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Pradeep","Completed"
"WO-0206","PMP-CW-101","2025-01-27","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; prior inspection warning noted 3 days before failure","Replaced mechanical seal cartridge; inspected shaft sleeve","Rajan","Completed"
"WO-0207","MTR-PR-301","2025-01-27","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Rajan","Completed"
"WO-0208","PMP-CW-101","2025-01-31","Water leakage from pump casing joint","Gland packing failure and shaft wear; prior inspection warning noted 13 days before failure","Repacked gland; shimmed shaft alignment","Rajan","Completed"
"WO-0209","CMP-AIR-102","2025-01-31","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft; last PM inspection overdue by 87 days","Replaced crankshaft oil seals; changed lubricating oil; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0210","PMP-FW-201","2025-02-04","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Suresh","Completed"
"WO-0211","MTR-FW-201","2025-02-04","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Kavitha","Closed"
"WO-0212","HEX-SM-301","2025-02-05","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends; last PM inspection overdue by 25 days","Plugged leaking tubes; scheduled tube bundle replacement; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0213","VLV-DR-501","2025-02-06","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 69 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0214","PMP-FW-202","2025-02-07","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Suresh","Closed"
"WO-0215","VLV-DR-501","2025-02-07","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Kavitha","Closed"
"WO-0216","PMP-CW-102","2025-02-11","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Rajan","Completed"
"WO-0217","PMP-PR-301","2025-02-12","Abnormal noise during pump startup","Cavitation due to low suction pressure; last PM inspection overdue by 44 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0218","MTR-PR-301","2025-02-13","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Pradeep","Completed"
"WO-0219","CMP-AIR-101","2025-02-15","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Rajan","Completed"
"WO-0220","MTR-FW-201","2025-02-16","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Pradeep","Closed"
"WO-0221","VLV-CW-101","2025-02-17","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 87 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0222","CMP-N2-201","2025-02-22","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Rajan","Completed"
"WO-0223","HEX-PR-201","2025-02-23","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 51 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0224","MTR-FW-202","2025-02-27","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Suresh","Completed"
"WO-0225","HEX-PR-201","2025-03-02","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Suresh","Completed"
"WO-0226","PMP-CW-101","2025-03-03","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0227","VLV-CW-101","2025-03-03","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 16 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0228","HEX-CW-102","2025-03-05","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Anwar","Completed"
"WO-0229","CMP-AIR-102","2025-03-06","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 80 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0230","CMP-AIR-101","2025-03-08","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings; last PM inspection overdue by 68 days","Replaced ring set; inspected cylinder walls for scoring; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0231","PMP-CW-101","2025-03-11","Abnormal noise during pump startup","Cavitation due to low suction pressure; prior inspection warning noted 15 days before failure; last PM inspection overdue by 68 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0232","CMP-N2-201","2025-03-12","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction","Topped oil; replaced oil cooler; checked all temp sensors","Murugan","Completed"
"WO-0233","HEX-CW-101","2025-03-13","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Suresh","Completed"
"WO-0234","HEX-SM-301","2025-03-15","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 50 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0235","HEX-CW-102","2025-03-15","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Suresh","Completed"
"WO-0236","MTR-CW-101","2025-03-18","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Kavitha","Completed"
"WO-0237","CMP-AIR-101","2025-03-21","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Anwar","Completed"
"WO-0238","HEX-PR-201","2025-03-21","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 63 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0239","HEX-CW-102","2025-03-22","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Pradeep","Completed"
"WO-0240","MTR-FW-201","2025-03-22","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 28 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Pradeep","Closed"
"WO-0241","HEX-PR-201","2025-03-23","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Suresh","Completed"
"WO-0242","VLV-CW-101","2025-03-29","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Rajan","Closed"
"WO-0243","HEX-CW-102","2025-03-30","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 34 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Kavitha","Closed"
"WO-0244","VLV-DR-501","2025-03-31","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Rajan","Closed"
"WO-0245","PMP-PR-301","2025-04-02","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling; last PM inspection overdue by 67 days","Replaced seal; flushed and cleared seal pot lines; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0246","PMP-PR-301","2025-04-05","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Suresh","Closed"
"WO-0247","CMP-AIR-102","2025-04-07","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Murugan","Completed"
"WO-0248","VLV-DR-501","2025-04-08","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 37 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0249","MTR-FW-201","2025-04-09","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Rajan","Completed"
"WO-0250","VLV-ST-301","2025-04-19","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 28 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0251","PMP-FW-201","2025-04-21","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Murugan","Completed"
"WO-0252","PMP-CW-101","2025-04-25","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0253","PMP-FW-201","2025-04-27","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Anwar","Completed"
"WO-0254","MTR-FW-201","2025-04-29","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Rajan","Closed"
"WO-0255","CMP-AIR-102","2025-05-01","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 39 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0256","MTR-FW-201","2025-05-10","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts; last PM inspection overdue by 79 days","Cleaned cooling fins; replaced cooling fan; checked current draw; PM schedule updated and overdue inspection completed","Murugan","Closed"
"WO-0257","HEX-CW-102","2025-05-13","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Deepak","Completed"
"WO-0258","CMP-REF-301","2025-05-13","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler","Cleaned inter-cooler tubes; verified cooling water flow","Deepak","Completed"
"WO-0259","CMP-N2-201","2025-05-15","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Pradeep","Completed"
"WO-0260","PMP-CW-101","2025-05-15","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance; prior inspection warning noted 16 days before failure","Bearings replaced; rotor balanced in-situ","Suresh","Completed"
"WO-0261","MTR-CW-102","2025-05-16","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Deepak","Completed"
"WO-0262","VLV-CW-101","2025-05-16","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Completed"
"WO-0263","CMP-N2-201","2025-05-16","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Rajan","Completed"
"WO-0264","CMP-AIR-101","2025-05-21","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Deepak","Completed"
"WO-0265","MTR-CW-102","2025-05-21","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Suresh","Completed"
"WO-0266","MTR-FW-202","2025-05-22","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Rajan","Completed"
"WO-0267","VLV-PR-201","2025-06-02","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 50 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0268","CMP-AIR-101","2025-06-04","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 38 days","Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0269","HEX-SM-301","2025-06-07","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Suresh","Completed"
"WO-0270","PMP-PR-301","2025-06-10","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Suresh","Completed"
"WO-0271","PMP-FW-202","2025-06-14","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Pradeep","Completed"
"WO-0272","VLV-PR-202","2025-06-15","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Murugan","Completed"
"WO-0273","VLV-ST-301","2025-06-15","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Murugan","Completed"
"WO-0274","PMP-CW-101","2025-06-16","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Rajan","Closed"
"WO-0275","MTR-FW-201","2025-06-16","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Suresh","Completed"
"WO-0276","MTR-FW-201","2025-06-17","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Anwar","Completed"
"WO-0277","VLV-CW-102","2025-06-20","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Anwar","Completed"
"WO-0278","PMP-CW-101","2025-06-20","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Kavitha","Closed"
"WO-0279","PMP-CW-101","2025-06-21","Abnormal noise during pump startup","Cavitation due to low suction pressure; prior inspection warning noted 7 days before failure","Adjusted suction valve opening; cleared strainer blockage","Rajan","Completed"
"WO-0280","CMP-REF-301","2025-06-21","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler; last PM inspection overdue by 32 days","Cleaned inter-cooler tubes; verified cooling water flow; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0281","CMP-AIR-101","2025-06-23","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Kavitha","Completed"
"WO-0282","PMP-PR-301","2025-06-24","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Kavitha","Closed"
"WO-0283","CMP-AIR-102","2025-06-25","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Rajan","Completed"
"WO-0284","MTR-FW-202","2025-06-26","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Pradeep","Completed"
"WO-0285","CMP-REF-301","2025-06-26","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 21 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0286","VLV-CW-102","2025-06-28","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Suresh","Completed"
"WO-0287","MTR-FW-202","2025-07-01","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts; last PM inspection overdue by 19 days","Cleaned cooling fins; replaced cooling fan; checked current draw; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0288","VLV-ST-301","2025-07-02","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Completed"
"WO-0289","CMP-N2-201","2025-07-03","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler; last PM inspection overdue by 90 days","Cleaned inter-cooler tubes; verified cooling water flow; PM schedule updated and overdue inspection completed","Murugan","Completed"
